"component","regulator","date","condition","accelerated","withdrawn","first_in_class","note","context","stage_or_status","risk_stratification","demographics","ineligibility","prior_therapy","prior_therapy_negation","prior_therapy_setting","response_contingency","time_contingency","prior_biomarker","with","biomarker","biomarker_negation","study_yn","study","string","date_added"
"Daratumumab and hyaluronidase","FDA","2021-01-15","Light-chain (AL) amyloidosis",TRUE,FALSE,FALSE,"","","","","","","0","FALSE","","","","","Bortezomib AND Cyclophosphamide AND Dexamethasone","","",TRUE,"ANDROMEDA","2021-01-15: Accelerated approval in combination with bortezomib, cyclophosphamide and dexamethasone for newly diagnosed <a href=""/wiki/Light-chain_(AL)_amyloidosis"" title=""Light-chain (AL) amyloidosis"">light-chain (AL) amyloidosis</a>. <i>(New disease entity; based on ANDROMEDA)</i>","2022-09-05"
"Daratumumab and hyaluronidase","FDA","2021-07-09","Multiple myeloma",FALSE,FALSE,FALSE,"","","","","adults","","1+, including Lenalidomide AND Proteasome inhibitor","FALSE","","","","","Pomalidomide AND Dexamethasone","","",TRUE,"APOLLO","2021-07-09: Approved in combination with pomalidomide and dexamethasone for adult patients with <a href=""/wiki/Multiple_myeloma"" title=""Multiple myeloma"">multiple myeloma</a> who have received at least one prior line of therapy including lenalidomide and a proteasome inhibitor. <i>(Based on APOLLO)</i>","2022-09-05"
"Daratumumab and hyaluronidase","FDA","2021-11-30","Multiple myeloma",FALSE,FALSE,FALSE,"","","Relapsed or refractory","","adults","","1 to 3","FALSE","","","","","","","",TRUE,"PLEIADES","2021-11-30: Approved for adult patients with relapsed or refractory <a href=""/wiki/Multiple_myeloma"" title=""Multiple myeloma"">multiple myeloma</a> who have received 1 to 3 prior lines of therapy. <i>(Based on PLEIADES)</i>","2022-09-05"
"Daratumumab and hyaluronidase","FDA","2024-07-30","Multiple myeloma",FALSE,FALSE,FALSE,"","Induction AND Consolidation","","","","eligible for auto HSCT","",NA,"0","","","","Bortezomib AND Lenalidomide AND Dexamethasone","","",TRUE,"PERSEUS","2024-07-30: Approved in combination with bortezomib, lenalidomide, and dexamethasone for induction and consolidation in patients with newly diagnosed <a href=""/wiki/Multiple_myeloma"" title=""Multiple myeloma"">multiple myeloma</a> who are eligible for autologous stem cell transplant (ASCT). <i>(Based on PERSEUS)</i>","2024-09-06"
"Daratumumab and vorhyaluronidase","PMDA","2021-03-23","Multiple myeloma",FALSE,FALSE,FALSE,"","","","","","","",NA,"","","","","","","",NA,"","2021-03-23: Newly indicated for the treatment of <a href=""/wiki/Multiple_myeloma"" title=""Multiple myeloma"">multiple myeloma</a>.","2023-07-31"
"Daratumumab and vorhyaluronidase","PMDA","2021-08-25","Light-chain (AL) amyloidosis",FALSE,FALSE,FALSE,"","","","","","","",NA,"","","","","","","",NA,"","2021-08-25: New indication and a new dosage for the treatment of <a href=""/wiki/Light-chain_(AL)_amyloidosis"" title=""Light-chain (AL) amyloidosis"">systemic AL amyloidosis</a>.","2023-11-07"
"Darbepoetin alfa","PMDA","2014-12-18","NONE",FALSE,FALSE,FALSE,"No linked condition","","","","","","",NA,"","","","","","","",NA,"","2014-12-18: New additional indication and a new dosage for the treatment of anemia due to myelodysplastic syndrome.","2023-06-16"
"Darinaparsin","PMDA","2022-06-20","Peripheral T-cell lymphoma",FALSE,FALSE,TRUE,"","","Relapsed or refractory","","","","",NA,"","","","","","","",TRUE,"SP-02","2022-06-20: A drug with a new active ingredient indicated for the treatment of relapsed or refractory <a href=""/wiki/Peripheral_T-cell_lymphoma"" title=""Peripheral T-cell lymphoma"">peripheral T-cell lymphoma</a>. <i>(Based on SP-02)</i>","2023-07-31"
"Darolutamide","EMA","2020-03-27","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-resistant","Non-metastatic","at risk of developing metastatic disease","adult men","","",NA,"","","","","","","",TRUE,"ARAMIS","2020-03-27: Initial authorization as Nubeqa. Nubeqa is indicated for the treatment of adult men with non metastatic castration resistant <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> (nmCRPC) who are at risk of developing metastatic disease. <i>(Based on ARAMIS)</i>","2023-09-17"
"Darolutamide","EMA","2023-03-20","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-sensitive","Metastatic","","","","",NA,"","","","","Docetaxel AND ADT","","",TRUE,"ARASENS","2023-03-20: Additional indication for metastatic hormone sensitive <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> (mHSPC) in combination with docetaxel and androgen deprivation therapy. <i>(Based on ARASENS)</i>","2023-05-08"
"Darolutamide","EMA","Uncertain date","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-resistant","Non-metastatic","Risk of developing metastatic disease","men","","",NA,"","","","","","","",NA,"","Uncertain date: Nubeqa is indicated for the treatment of adult men with non metastatic castration resistant <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> (nmCRPC) who are at risk of developing metastatic disease.","2023-05-08"
"Darolutamide","FDA","2019-07-30","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-resistant","Non-metastatic","","","","",NA,"","","","","","","",TRUE,"ARAMIS","2019-07-30: Initial approval for non-metastatic castration-resistant <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a>. <i>(Based on ARAMIS)</i>","2022-09-05"
"Darolutamide","FDA","2022-08-05","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-sensitive","Metastatic","","adults","","",NA,"","","","","Docetaxel","","",TRUE,"ARASENS","2022-08-05: Approved in combination with docetaxel for adult patients with metastatic hormone-sensitive <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> (mHSPC). <i>(Based on ARASENS)</i>","2022-09-05"
"Darolutamide","HC","2020-02-20","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-resistant","Non-metastatic","","","","",NA,"","","","","","","",NA,"","2020-02-20: Notice of compliance for the treatment of patients with non-metastatic castration resistant <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> (nmCRPC).","2023-05-20"
"Darolutamide","HC","2022-09-29","NONE",FALSE,FALSE,FALSE,"No linked condition","","","","","","",NA,"","","","","","","",NA,"","2022-09-29: New indication (details unknown)","2023-05-20"
"Darolutamide","PMDA","2020-01-23","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-resistant","Non-metastatic","","","","",NA,"","","","","","","",NA,"","2020-01-23: Newly indicated for the treatment of non-metastatic, castration-resistant <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a>.","2023-06-16"
"Dasatinib","EMA","2006-11-20","NONE",FALSE,FALSE,FALSE,"No linked condition","","","","","","",NA,"","","","","","","",NA,"","2006-11-20: Initial authorization","2023-05-08"
"Dasatinib","FDA","2006-06-28","Chronic myeloid leukemia",TRUE,FALSE,FALSE,"","","Chronic phase OR Accelerated phase OR Blast crisis","","adults","","1+, including Imatinib","FALSE","","","","","","","",TRUE,"CA180-013","2006-06-28: Initial accelerated approval for the treatment of adults with chronic, accelerated, or myeloid or lymphoid blast phase <a href=""/wiki/Chronic_myeloid_leukemia"" title=""Chronic myeloid leukemia""> chronic myeloid leukemia</a> with resistance or intolerance to prior therapy including <a href=""/wiki/Imatinib_(Gleevec)"" title=""Imatinib (Gleevec)""> imatinib</a>. <i>(Based on CA180-013)</i>","2022-09-21"
"Dasatinib","FDA","2006-06-28","Acute lymphoblastic leukemia",FALSE,FALSE,FALSE,"","","","","adults","","1+","FALSE","","","","","","BCR-ABL1","FALSE",TRUE,"START-L","2006-06-28: Initial approval for the treatment of adults with <a href=""/wiki/Biomarkers#BCR-ABL1"" title=""Biomarkers""> Philadelphia chromosome-positive</a> <a href=""/wiki/Category:Acute_lymphoblastic_leukemias"" title=""Category:Acute lymphoblastic leukemias"">acute lymphoblastic leukemia</a> with resistance or intolerance to prior therapy. <i>(Based on START-L)</i>","2022-09-05"
"Dasatinib","FDA","2007-11-08","Chronic myeloid leukemia",TRUE,FALSE,FALSE,"","","Chronic phase","","adults","","1+, including Imatinib","FALSE","","","","","","","",TRUE,"CA180-034","2007-11-08: New accelerated approval for the treatment of adults with chronic phase (CP) <a href=""/wiki/Chronic_myeloid_leukemia"" title=""Chronic myeloid leukemia"">chronic myeloid leukemia (CML)</a> with resistance or intolerance to prior therapy, including imatinib mesylate. The new dosing regimen is 100 mg taken orally once daily. <i>(New dosing instruction; based on CA180-034)</i>","2022-09-21"
"Dasatinib","FDA","2009-05-21","Chronic myeloid leukemia",FALSE,FALSE,FALSE,"","","Chronic phase OR Accelerated phase OR Blast crisis","","adults","","1+, including Imatinib","FALSE","","","","","","","",TRUE,"CA180-035","2009-05-21: Converted to regular approval for the treatment of adults with chronic, accelerated, or myeloid or lymphoid blast phase <a href=""/wiki/Chronic_myeloid_leukemia"" title=""Chronic myeloid leukemia""> chronic myeloid leukemia</a> with resistance or intolerance to prior therapy including <a href=""/wiki/Imatinib_(Gleevec)"" title=""Imatinib (Gleevec)""> imatinib</a>. <i>(Based on CA180-035)</i>","2022-09-21"
"Dasatinib","FDA","2010-10-28","Chronic myeloid leukemia",TRUE,FALSE,FALSE,"","","Chronic phase","","adults","","0","FALSE","","","","","","BCR-ABL1","FALSE",TRUE,"DASISION","2010-10-28: Accelerated approval for newly diagnosed adults with <a href=""/wiki/Biomarkers#BCR-ABL1"" title=""Biomarkers"">Philadelphia chromosome-positive (Ph+)</a> <a href=""/wiki/Chronic_myeloid_leukemia"" title=""Chronic myeloid leukemia""> chronic myeloid leukemia (CML)</a> in chronic phase. <i>(Approval expanded to the first-line setting; based on DASISION)</i>","2022-09-21"
"Dasatinib","FDA","2015-08-12","Chronic myeloid leukemia",FALSE,FALSE,FALSE,"","","Chronic phase","","adults","","0","FALSE","","","","","","BCR-ABL1","FALSE",TRUE,"DASISION","2015-08-12: Converted to regular approval for newly diagnosed adults with <a href=""/wiki/Biomarkers#BCR-ABL1"" title=""Biomarkers"">Philadelphia chromosome-positive (Ph+)</a> <a href=""/wiki/Chronic_myeloid_leukemia"" title=""Chronic myeloid leukemia""> chronic myeloid leukemia (CML)</a> in chronic phase. <i>(Based on DASISION)</i>","2022-09-21"
"Dasatinib","FDA","2017-11-10","Chronic myeloid leukemia",FALSE,FALSE,FALSE,"","","Chronic phase","","pediatric","","",NA,"","","","","","BCR-ABL1","FALSE",TRUE,"CA180-018","2017-11-10: New indication for the treatment of pediatric patients with <a href=""/wiki/Biomarkers#BCR-ABL1"" title=""Biomarkers"">Philadelphia chromosome-positive</a> <a href=""/wiki/Chronic_myeloid_leukemia"" title=""Chronic myeloid leukemia"">chronic myeloid leukemia</a> in chronic phase. <i>(Approval expanded to include the pediatric population; based on CA180-018 and CA180-226)</i>","2022-09-21"
"Dasatinib","FDA","2017-11-10","Chronic myeloid leukemia",FALSE,FALSE,FALSE,"","","Chronic phase","","pediatric","","",NA,"","","","","","BCR-ABL1","FALSE",TRUE,"CA180-226","2017-11-10: New indication for the treatment of pediatric patients with <a href=""/wiki/Biomarkers#BCR-ABL1"" title=""Biomarkers"">Philadelphia chromosome-positive</a> <a href=""/wiki/Chronic_myeloid_leukemia"" title=""Chronic myeloid leukemia"">chronic myeloid leukemia</a> in chronic phase. <i>(Approval expanded to include the pediatric population; based on CA180-018 and CA180-226)</i>","2022-09-21"
"Dasatinib","FDA","2018-12-21","Acute lymphoblastic leukemia",FALSE,FALSE,FALSE,"","","","","pediatric aged 1 year and older","","0","FALSE","","","","","Chemotherapy","BCR-ABL1","FALSE",TRUE,"COG AALL1122","2018-12-21: Approved for pediatric patients 1 year of age and older with newly diagnosed <a href=""/wiki/Biomarkers#BCR-ABL1"" title=""Biomarkers"">Ph+</a> <a href=""/wiki/Category:Acute_lymphoblastic_leukemias"" title=""Category:Acute lymphoblastic leukemias"">ALL</a> in combination with chemotherapy. <i>(Based on COG AALL1122)</i>","2022-09-05"
"Dasatinib","HC","2007-03-26","NONE",TRUE,FALSE,FALSE,"No linked condition","","","","","","",NA,"","","","","","","",NA,"","2007-03-26: Initial notice of compliance with conditions","2023-05-08"
"Dasatinib","HC","2009-11-19","NONE",FALSE,FALSE,FALSE,"No linked condition","","","","","","",NA,"","","","","","","",NA,"","2009-11-19: Conditions were met","2023-05-08"
"Dasatinib","PMDA","2009-01-21","Acute lymphoblastic leukemia",FALSE,FALSE,FALSE,"","","Relapsed or refractory","","","","",NA,"","","","","","Ph+","FALSE",NA,"","2009-01-21: Initial approval for the treatment of recurrent or refractory Philadelphia chromosome-positive <a href=""/wiki/Category:Acute_lymphoblastic_leukemias"" title=""Category:Acute lymphoblastic leukemias"">acute lymphoblastic leukemia</a>.","2023-06-16"
"Dasatinib","PMDA","2009-01-21","Chronic myeloid leukemia",FALSE,FALSE,FALSE,"","","","","","","Imatinib","FALSE","","Resistance","","","","","",NA,"","2009-01-21: Initial approval for the treatment of imatinib-resistant <a href=""/wiki/Chronic_myeloid_leukemia"" title=""Chronic myeloid leukemia"">chronic myelogenous leukemia</a>.","2023-06-16"
"Dasatinib","PMDA","2011-06-16","Chronic myeloid leukemia",FALSE,FALSE,FALSE,"","","","","","","",NA,"","","","","","","",NA,"","2011-06-16: New additional indication and a new dosage for the treatment of <a href=""/wiki/Chronic_myeloid_leukemia"" title=""Chronic myeloid leukemia"">chronic myelocytic leukemia</a>.","2023-06-16"
"Daunorubicin","EMA","1966-06-08","NONE",FALSE,FALSE,TRUE,"No linked condition","","","","","","",NA,"","","","","","","",NA,"","1966-06-08: EURD","2023-07-31"
"Daunorubicin","FDA","1979-12-19","NONE",FALSE,FALSE,FALSE,"","","","","","","",NA,"","","","","","","",NA,"","1979-12-19: Initial FDA approval","2022-09-05"
"Daunorubicin","FDA","Uncertain date","Acute nonlymphocytic leukemia",FALSE,FALSE,FALSE,"","Induction","","","adults","","",NA,"","","","","other approved anticancer drugs","","",TRUE,"Yates et al. 1973","Uncertain date: Approved in combination with other approved anticancer drugs for remission induction in acute nonlymphocytic leukemia (myelogenous, monocytic, erythroid) of adults. <i>(Based on Yates et al. 1973, possibly others)</i>","2022-09-05"
"Daunorubicin","FDA","Uncertain date","Acute lymphoblastic leukemia",FALSE,FALSE,FALSE,"","","","","adults and pediatric","","",NA,"","","","","","","",TRUE,"ALGB 6801","Uncertain date: Approved for remission induction in <a href=""/wiki/Category:Acute_lymphoblastic_leukemias"" title=""Category:Acute lymphoblastic leukemias"">acute lymphocytic leukemia</a> of children and adults. <i>(Based on ALGB 6801 and CALGB 7612)</i>","2022-09-05"
"Daunorubicin","FDA","Uncertain date","Acute lymphoblastic leukemia",FALSE,FALSE,FALSE,"","","","","adults and pediatric","","",NA,"","","","","","","",TRUE,"CALGB 7612","Uncertain date: Approved for remission induction in <a href=""/wiki/Category:Acute_lymphoblastic_leukemias"" title=""Category:Acute lymphoblastic leukemias"">acute lymphocytic leukemia</a> of children and adults. <i>(Based on ALGB 6801 and CALGB 7612)</i>","2022-09-05"
"Daunorubicin liposomal","FDA","1996-04-08","Kaposi sarcoma",FALSE,FALSE,FALSE,"","","Advanced","","","","0","FALSE","","","","","","","",TRUE,"Gill et al. 1996","1996-04-08: Initial FDA approval as a first-line cytotoxic therapy for the treatment of advanced, HIV-associated <a href=""/wiki/Kaposi_sarcoma"" title=""Kaposi sarcoma"">Kaposi's sarcoma (KS)</a>. <i>(Based on Gill et al. 1996)</i>","2022-09-05"
"Decitabine","EMA","2012-09-20","NONE",FALSE,FALSE,FALSE,"No linked condition","","","","","","",NA,"","","","","","","",NA,"","2012-09-20: Initial authorization","2023-05-08"
"Decitabine","EMA","Uncertain date","Acute myeloid leukemia",FALSE,FALSE,FALSE,"","First-line","","","","not candidate for standard induction chemotherapy","",NA,"","","","","","","",NA,"","Uncertain date: Indicated for treatment of adult patients with newly diagnosed de novo or secondary <a href=""/wiki/Acute_myeloid_leukemia"" title=""Acute myeloid leukemia"">acute myeloid leukaemia (AML)</a>, according to the World Health Organization (WHO) classification, who are not candidates for standard induction chemotherapy.","2023-05-20"
"Decitabine","FDA","2006-05-02","Myelodysplastic syndrome",FALSE,FALSE,FALSE,"","","","","","","",NA,"","","","","","","",TRUE,"D-0007","2006-05-02: Initial approval for treatment of patients with <a href=""/wiki/Myelodysplastic_syndrome"" title=""Myelodysplastic syndrome""> myelodysplastic syndromes (MDS)</a> including previously treated and untreated, de novo and secondary MDS of all French-American-British subtypes (refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia with excess blasts, refractory anemia with excess blasts in transformation, and chronic myelomonocytic leukemia) and intermediate-1, intermediate-2, and high-risk International Prognostic Scoring System groups. <i>(Based on D-0007)</i>","2022-09-05"
"Decitabine and cedazuridine","EMA","2023-09-19","Acute myeloid leukemia",FALSE,FALSE,FALSE,"","","","","adults","ineligible for standard induction chemotherapy","0",NA,"","","","","0","","",NA,"","2023-09-19: Initial marketing authorization as Inaqovi. Inaqovi is indicated as monotherapy for the treatment of adult patients with newly diagnosed <a href=""/wiki/Acute_myeloid_leukemia"" title=""Acute myeloid leukemia"">acute myeloid leukaemia (AML)</a> who are ineligible for standard induction chemotherapy.","2023-11-07"
"Decitabine and cedazuridine","FDA","2020-07-07","Chronic myelomonocytic leukemia",FALSE,FALSE,FALSE,"","","","","adults","","",NA,"","","","","","","",TRUE,"ASCERTAIN","2020-07-07: Initial approval for adult patients with <a href=""/wiki/Myelodysplastic_syndrome"" title=""Myelodysplastic syndrome"">myelodysplastic syndromes (MDS)</a> including previously treated and untreated, de novo and secondary MDS with the following French-American-British subtypes (refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia with excess blasts, and <a href=""/wiki/Chronic_myelomonocytic_leukemia"" title=""Chronic myelomonocytic leukemia"">chronic myelomonocytic leukemia [CMML]</a>) and intermediate-1, intermediate-2, and high-risk International Prognostic Scoring System groups. <i>(Based on ASTX727-01-B and ASCERTAIN)</i>","2022-09-05"
"Decitabine and cedazuridine","FDA","2020-07-07","Myelodysplastic syndrome",FALSE,FALSE,FALSE,"","","","","adults","","",NA,"","","","","","","",TRUE,"ASCERTAIN","2020-07-07: Initial approval for adult patients with <a href=""/wiki/Myelodysplastic_syndrome"" title=""Myelodysplastic syndrome"">myelodysplastic syndromes (MDS)</a> including previously treated and untreated, de novo and secondary MDS with the following French-American-British subtypes (refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia with excess blasts, and <a href=""/wiki/Chronic_myelomonocytic_leukemia"" title=""Chronic myelomonocytic leukemia"">chronic myelomonocytic leukemia [CMML]</a>) and intermediate-1, intermediate-2, and high-risk International Prognostic Scoring System groups. <i>(Based on ASTX727-01-B and ASCERTAIN)</i>","2022-09-05"
"Decitabine and cedazuridine","FDA","2020-07-07","Chronic myelomonocytic leukemia",FALSE,FALSE,FALSE,"","","","","adults","","",NA,"","","","","","","",TRUE,"ASTX727-01-B","2020-07-07: Initial approval for adult patients with <a href=""/wiki/Myelodysplastic_syndrome"" title=""Myelodysplastic syndrome"">myelodysplastic syndromes (MDS)</a> including previously treated and untreated, de novo and secondary MDS with the following French-American-British subtypes (refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia with excess blasts, and <a href=""/wiki/Chronic_myelomonocytic_leukemia"" title=""Chronic myelomonocytic leukemia"">chronic myelomonocytic leukemia [CMML]</a>) and intermediate-1, intermediate-2, and high-risk International Prognostic Scoring System groups. <i>(Based on ASTX727-01-B and ASCERTAIN)</i>","2022-09-05"
"Decitabine and cedazuridine","FDA","2020-07-07","Myelodysplastic syndrome",FALSE,FALSE,FALSE,"","","","","adults","","",NA,"","","","","","","",TRUE,"ASTX727-01-B","2020-07-07: Initial approval for adult patients with <a href=""/wiki/Myelodysplastic_syndrome"" title=""Myelodysplastic syndrome"">myelodysplastic syndromes (MDS)</a> including previously treated and untreated, de novo and secondary MDS with the following French-American-British subtypes (refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia with excess blasts, and <a href=""/wiki/Chronic_myelomonocytic_leukemia"" title=""Chronic myelomonocytic leukemia"">chronic myelomonocytic leukemia [CMML]</a>) and intermediate-1, intermediate-2, and high-risk International Prognostic Scoring System groups. <i>(Based on ASTX727-01-B and ASCERTAIN)</i>","2022-09-05"
"Deferasirox","FDA","2015-03-30","Chronic iron overload",TRUE,FALSE,FALSE,"No linked condition","","","","","","",NA,"","","","","","","",NA,"","2015-03-30: Accelerated FDA approval for the treatment of chronic iron overload due to blood transfusions in patients 2 years of age and older.","2023-07-31"
"Deferasirox","FDA","2015-03-30","Chronic iron overload",TRUE,FALSE,FALSE,"No linked condition","","","","","","",NA,"","","","","","","",NA,"","2015-03-30: Accelerated FDA approval for the treatment of chronic iron overload in patients 10 years of age and older with non-transfusion-dependent thalassemia (NTDT) syndromes and with a liver iron (Fe) concentration (LIC) of at least 5 mg Fe per gram of dry weight (Fe/g dw) and a serum ferritin greater than 300 mcg/L.","2023-07-31"
"Deferiprone","","","",FALSE,FALSE,NA,"No changes in FDA indication section","","","","","","",NA,"","","","","","","",NA,"","","2022-09-05"
"Deferoxamine","","","",FALSE,FALSE,NA,"No changes in FDA indication section","","","","","","",NA,"","","","","","","",NA,"","","2022-09-05"
"Defibrotide","EMA","2013-10-18","NONE",FALSE,FALSE,TRUE,"No linked condition","","","","","","",NA,"","","","","","","",NA,"","2013-10-18: Initial authorization","2023-05-08"
"Defibrotide","EMA","Uncertain date","Hepatic veno-occlusive disease",FALSE,FALSE,FALSE,"","","severe","","adults AND pediatric patients 1 month and older","","",NA,"","","","","","","",NA,"","Uncertain date: Defitelio is indicated for the treatment of severe <a href=""/wiki/Hepatic_veno-occlusive_disease"" title=""Hepatic veno-occlusive disease"">hepatic veno-occlusive disease (VOD) also known as sinusoidal obstructive syndrome (SOS)</a> in haematopoietic stem-cell transplantation (HSCT) therapy. It is indicated in adults and in adolescents, children and infants over 1 month of age.","2023-05-08"
"Defibrotide","FDA","2016-03-30","Hepatic veno-occlusive disease",FALSE,FALSE,FALSE,"","","","","","","",NA,"","","","","","","",NA,"","2016-03-30: <a target=""_blank"" rel=""noreferrer noopener"" class=""external text"" href=""https://www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm493278.htm"">FDA approved</a> for the treatment of adult and pediatric patients with <a href=""/wiki/Hepatic_veno-occlusive_disease"" title=""Hepatic veno-occlusive disease"">hepatic veno-occlusive disease (VOD), also known as sinusoidal obstructive syndrome</a>, with renal or pulmonary dysfunction following hematopoietic stem-cell transplantation (HSCT).","2022-09-05"
"Defibrotide","PMDA","2019-06-18","NONE",FALSE,FALSE,FALSE,"No linked condition","","","","","","",NA,"","","","","","","",NA,"","2019-06-18: Newly indicated for the treatment of <a href=""/wiki/Hepatic_veno-occlusive_disease"" title=""Hepatic veno-occlusive disease"">sinusoidal obstruction syndrome (SOS) /hepatic veno-occlusive disease (VOD)</a>.","2023-06-16"
"Degarelix","EMA","2009-02-17","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-sensitive","Advanced","","adult men","","",NA,"","","","","","","",NA,"","2009-02-17: Initial authorization as Firmagon. Firmagon is a gonadotrophin releasing hormone (GnRH) antagonist indicated for treatment of adult male patients with advanced hormone-dependent <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a>.","2023-09-17"
"Degarelix","EMA","2021-10-19","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-sensitive","Localized OR Locally advanced","high-risk","","","",NA,"","","","","Radiotherapy","","",NA,"","2021-10-19: Extension of indication to include treatment of high-risk localized and locally advanced hormone dependent <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> in combination with radiotherapy.","2023-09-17"
"Degarelix","EMA","2021-10-19","Prostate cancer",FALSE,FALSE,FALSE,"","Neoadjuvant castrate-sensitive","Localized OR Locally advanced","high-risk","","","",NA,"","","","","","","",NA,"","2021-10-19: Extension of indication to include treatment as neo-adjuvant prior to radiotherapy in patients with high-risk localised or locally advanced hormone dependent <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a>.","2023-09-17"
"Degarelix","FDA","2008-12-24","Prostate cancer",FALSE,FALSE,FALSE,"","","Advanced","","","","",NA,"","","","","","","",TRUE,"CS21","2008-12-24: <a target=""_blank"" rel=""noreferrer noopener"" class=""external text"" href=""https://www.fda.gov/AboutFDA/CentersOffices/OfficeofMedicalProductsandTobacco/CDER/ucm129207.htm"">Approved</a> for treatment of patients with advanced <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a>. <i>(Based on CS21)</i>","2022-09-05"
"Degarelix","HC","2009-11-16","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-sensitive","Advanced","","","","",NA,"","","","","","","",NA,"","2009-11-16: Initial notice of compliance for testosterone suppression in patients with advanced hormone-dependent <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> in whom androgen deprivation is warranted.","2023-05-20"
"Degarelix","PMDA","2012-06-29","Prostate cancer",FALSE,FALSE,FALSE,"","","","","","","",NA,"","","","","","","",NA,"","2012-06-29: Initial approval for the treatment of <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a>.","2023-06-16"
"Denileukin diftitox","FDA","1999-02-05","Cutaneous T-cell lymphoma",TRUE,FALSE,TRUE,"","","Persistent OR Recurrent","","","","",NA,"","","","","","CD25+","FALSE",TRUE,"L4389-10","1999-02-05: Initial accelerated approval for the treatment of patients with persistent or recurrent <a href=""/wiki/Cutaneous_T-cell_lymphoma"" title=""Cutaneous T-cell lymphoma"">cutaneous T-cell lymphoma</a> whose malignant cells <a href=""/wiki/Biomarkers#Expression"" title=""Biomarkers"">express</a> the <a href=""/wiki/Biomarkers#CD25"" title=""Biomarkers"">CD25</a> component of the IL-2 receptor. <i>(Based on L4389-10)</i>","2022-09-05"
"Denileukin diftitox","FDA","2008-10-15","Cutaneous T-cell lymphoma",FALSE,FALSE,FALSE,"","","Persistent OR Recurrent","","","","",NA,"","","","","","CD25+","FALSE",TRUE,"L4389-11","2008-10-15: Converted to regular approval for the treatment of patients with persistent or recurrent <a href=""/wiki/Cutaneous_T-cell_lymphoma"" title=""Cutaneous T-cell lymphoma"">cutaneous T-cell lymphoma</a> whose malignant cells <a href=""/wiki/Biomarkers#Expression"" title=""Biomarkers"">express</a> the <a href=""/wiki/Biomarkers#CD25"" title=""Biomarkers"">CD25</a> component of the IL-2 receptor. <i>(Based on L4389-11)</i>","2022-09-05"
"Denileukin diftitox","PMDA","2021-03-23","Cutaneous T-cell lymphoma",FALSE,FALSE,FALSE,"","","Relapsed or refractory","","","","",NA,"","","","","","","",NA,"","2021-03-23: Newly indicated for the treatment of relapsed or refractory <a href=""/wiki/Peripheral_T-cell_lymphoma"" title=""Peripheral T-cell lymphoma"">peripheral T-cell lymphoma</a> and relapsed or refractory <a href=""/wiki/Cutaneous_T-cell_lymphoma"" title=""Cutaneous T-cell lymphoma"">cutaneous T-cell lymphoma</a>.","2023-06-16"
"Denileukin diftitox","PMDA","2021-03-23","Peripheral T-cell lymphoma",FALSE,FALSE,FALSE,"","","Relapsed or refractory","","","","",NA,"","","","","","","",NA,"","2021-03-23: Newly indicated for the treatment of relapsed or refractory <a href=""/wiki/Peripheral_T-cell_lymphoma"" title=""Peripheral T-cell lymphoma"">peripheral T-cell lymphoma</a> and relapsed or refractory <a href=""/wiki/Cutaneous_T-cell_lymphoma"" title=""Cutaneous T-cell lymphoma"">cutaneous T-cell lymphoma</a>.","2023-06-16"
"Denosumab","EMA","2010-05-26","NONE",FALSE,FALSE,TRUE,"No linked condition","","","","","","",NA,"","","","","","","",NA,"","2010-05-26: Initial authorization as Prolia","2023-05-08"
